1;1;1;Cirugia;activo;
2;2;2;Cirugia;activo;
3;3;3;Cirugia;inactivo;
4;4;4;Cirugia;inactivo;
5;5;5;Oncologia;activo;
6;6;6;Oncologia;inactivo;
7;7;7;Oncologia;activo;
8;8;8;Oncologia;inactivo;
9;9;9;Dermatologia;inactivo;
10;10;10;Dermatologia;activo;
11;11;11;Dermatologia;inactivo;
12;12;12;Dermatologia;activo;
13;13;13;Neumologia;activo;
14;14;14;Neumologia;inactivo;
15;15;15;Neumologia;inactivo;
16;16;16;Neumologia;activo;
17;17;17;Cardiologia;inactivo;
18;18;18;Cardiologia;inactivo;
19;19;19;Cardiologia;activo;
20;20;20;Cardiologia;activo;
21;21;21;MedicinaInterna;inactivo;
22;22;22;MedicinaInterna;activo;
23;23;23;MedicinaInterna;inactivo;
24;24;24;MedicinaInterna;activo;
GRANADOS;granados;123;Neumologia;inactivo;
MANOLO;manolo@gmail.com;123456;Cirugia;inactivo;
Juan pp;jpr.rod06@gmail.com;1141114535;Neumologia;inactivo;
